source target weight
284 941 1.0
284 942 1.0
285 943 1.0
285 944 1.0
285 945 1.0
286 946 1.0
286 947 1.0
286 948 1.0
287 949 1.0
287 950 1.0
287 951 1.0
287 952 1.0
288 953 1.0
288 954 1.0
289 955 1.0
289 956 1.0
289 957 1.0
290 958 1.0
290 959 1.0
290 960 1.0
290 961 1.0
291 962 1.0
291 963 1.0
292 964 1.0
292 965 1.0
292 966 1.0
293 967 1.0
293 968 1.0
293 969 1.0
293 970 1.0
294 971 1.0
294 972 1.0
295 973 1.0
295 974 1.0
295 975 1.0
296 976 1.0
296 977 1.0
296 978 1.0
297 979 1.0
297 980 1.0
297 981 1.0
298 982 1.0
298 983 1.0
298 984 1.0
299 985 1.0
299 986 1.0
299 987 1.0
300 988 1.0
300 989 1.0
300 990 1.0
301 991 1.0
301 992 1.0
301 993 1.0
302 994 1.0
302 995 1.0
302 996 1.0
303 997 1.0
303 998 1.0
303 999 1.0
304 1000 1.0
304 1001 1.0
304 1002 1.0
304 1003 1.0
305 1004 1.0
305 1005 1.0
305 1006 1.0
306 1007 1.0
306 1008 1.0
306 1009 1.0
307 1010 1.0
307 1011 1.0
307 1012 1.0
308 1013 1.0
308 1014 1.0
308 1015 1.0
309 1016 1.0
309 1017 1.0
309 1018 1.0
310 1019 1.0
310 1020 1.0
310 1021 1.0
311 1022 1.0
311 1023 1.0
311 1024 1.0
312 1025 1.0
312 1026 1.0
312 1027 1.0
313 1028 1.0
313 1029 1.0
313 1030 1.0
314 1031 1.0
314 1032 1.0
314 1033 1.0
315 1034 1.0
315 1035 1.0
315 1036 1.0
316 1037 1.0
316 1038 1.0
317 1039 1.0
317 1040 1.0
317 1041 1.0
318 1042 1.0
318 1043 1.0
318 1044 1.0
318 1045 1.0
319 1046 1.0
319 1047 1.0
319 1048 1.0
320 1049 1.0
320 1050 1.0
320 1051 1.0
321 1052 1.0
321 1053 1.0
321 1054 1.0
322 1055 1.0
322 1056 1.0
322 1057 1.0
323 1058 1.0
323 1059 1.0
323 1060 1.0
324 1061 1.0
324 1062 1.0
324 1063 1.0
325 1064 1.0
325 1065 1.0
325 1066 1.0
325 1067 1.0
326 1068 1.0
327 1069 1.0
327 1070 1.0
327 1071 1.0
327 1072 1.0
327 1073 1.0
328 1074 1.0
328 1075 1.0
329 1076 1.0
329 1077 1.0
329 1078 1.0
330 1079 1.0
330 1080 1.0
330 1081 1.0
330 1082 1.0
331 1083 1.0
331 1084 1.0
332 1085 1.0
332 1086 1.0
332 1087 1.0
333 1088 1.0
333 1089 1.0
333 1090 1.0
334 1091 1.0
334 1092 1.0
335 1093 1.0
335 1094 1.0
335 1095 1.0
335 1096 1.0
336 1097 1.0
336 1098 1.0
336 1099 1.0
337 1100 1.0
337 1101 1.0
337 1102 1.0
338 1103 1.0
338 1104 1.0
338 1105 1.0
339 1106 1.0
339 1107 1.0
340 1108 1.0
340 1109 1.0
340 1110 1.0
341 1111 1.0
341 1112 1.0
341 1113 1.0
341 1114 1.0
342 1115 1.0
342 1116 1.0
342 1117 1.0
343 1118 1.0
343 1119 1.0
343 1120 1.0
344 1121 1.0
344 1122 1.0
344 1123 1.0
345 1124 1.0
345 1125 1.0
345 1126 1.0
346 1127 1.0
346 1128 1.0
346 1129 1.0
347 1130 1.0
347 1131 1.0
347 1132 1.0
348 1133 1.0
348 1134 1.0
348 1135 1.0
349 1136 1.0
349 1137 1.0
349 1138 1.0
350 1139 1.0
350 1140 1.0
350 1141 1.0
351 1142 1.0
351 1143 1.0
351 1144 1.0
352 1145 1.0
352 1146 1.0
352 1147 1.0
353 1148 1.0
353 1149 1.0
353 1150 1.0
354 1151 1.0
354 1152 1.0
354 1153 1.0
355 1154 1.0
355 1155 1.0
355 1156 1.0
356 1157 1.0
356 1158 1.0
357 1159 1.0
357 1160 1.0
357 1161 1.0
358 1162 1.0
358 1163 1.0
358 1164 1.0
359 1165 1.0
359 1166 1.0
359 1167 1.0
360 1168 1.0
360 1169 1.0
361 1170 1.0
361 1171 1.0
361 1172 1.0
361 1173 1.0
362 1174 1.0
362 1175 1.0
363 1176 1.0
363 1177 1.0
363 1178 1.0
364 1179 1.0
364 1180 1.0
364 1181 1.0
365 1182 1.0
365 1183 1.0
365 1184 1.0
366 1185 1.0
366 1186 1.0
366 1187 1.0
366 1188 1.0
367 1189 1.0
367 1190 1.0
367 1191 1.0
368 1192 1.0
368 1193 1.0
368 1194 1.0
368 1195 1.0
369 1196 1.0
369 1197 1.0
370 1198 1.0
370 1199 1.0
370 1200 1.0
371 1201 1.0
371 1202 1.0
371 1203 1.0
371 1204 1.0
372 1205 1.0
372 1206 1.0
372 1207 1.0
373 1208 1.0
373 1209 1.0
373 1210 1.0
374 1211 1.0
374 1212 1.0
374 1213 1.0
375 1214 1.0
375 1215 1.0
375 1216 1.0
376 1217 1.0
376 1218 1.0
376 1219 1.0
377 1220 1.0
377 1221 1.0
377 1222 1.0
378 1223 1.0
378 1224 1.0
378 1225 1.0
379 1226 1.0
379 1227 1.0
379 1228 1.0
379 1229 1.0
380 1230 1.0
380 1231 1.0
380 1232 1.0
381 1233 1.0
381 1234 1.0
381 1235 1.0
382 1236 1.0
382 1237 1.0
382 1238 1.0
383 1239 1.0
383 1240 1.0
383 1241 1.0
384 1242 1.0
384 1243 1.0
384 1244 1.0
385 1245 1.0
385 1246 1.0
385 1247 1.0
386 1248 1.0
386 1249 1.0
386 1250 1.0
387 1251 1.0
387 1252 1.0
387 1253 1.0
388 1254 1.0
388 1255 1.0
389 1256 1.0
389 1257 1.0
389 1258 1.0
390 1259 1.0
390 1260 1.0
390 1261 1.0
391 1262 1.0
391 1263 1.0
391 1264 1.0
391 1265 1.0
392 1266 1.0
392 1267 1.0
392 1268 1.0
393 1269 1.0
393 1270 1.0
394 1271 1.0
394 1272 1.0
394 1273 1.0
394 1274 1.0
395 1275 1.0
395 1276 1.0
395 1277 1.0
396 1278 1.0
396 1279 1.0
396 1280 1.0
396 1281 1.0
397 1282 1.0
397 1283 1.0
397 1284 1.0
398 1285 1.0
398 1286 1.0
398 1287 1.0
398 1288 1.0
399 1289 1.0
399 1290 1.0
399 1291 1.0
400 1292 1.0
